year,epi_population,epi_workforce,epi_hours,total_population,total_workforce,avg_participation,epi_population_norm,epi_workforce_norm,epi_hours_norm
2000,12.445478723404255,10.701747511950478,9.424382477245551,7520000,5002312,0.6652010638297873,0.9313854877084852,0.9182712652988524,0.9154676219004547
2001,12.339457509353288,10.610026070433472,9.352898339389204,7484000,4969921.2,0.6640728487439872,0.9234511508821638,0.9104010399863226,0.9085237808748005
2002,12.232411385606875,10.517396207247693,9.280647377596932,7448000,4937628,0.6629468313641246,0.9154401126257274,0.9024528668886971,0.9015054519464393
2003,12.124325418240693,10.423845510540518,9.20761506783568,7412000,4905432.4,0.661823043712898,0.907351255325246,0.8944256809978921,0.8944112242768328
2004,12.015184381778743,10.329361350618582,9.133786505914275,7376000,4873334.4,0.6607015184381779,0.8991834395478617,0.8863183986138394,0.887239650099564
2005,11.904972752043596,10.2339308752505,9.059146394901965,7340000,4841334,0.6595822888283379,0.8909355035067209,0.8781299169414338,0.8799892434981973
2006,11.793674698795181,10.137541004848973,8.983679032043613,7304000,4809431.2,0.6584653888280395,0.8826062625100817,0.8698591136771293,0.8726584791352439
2007,11.681274078150798,10.040178427528652,8.907368295147807,7268000,4777626,0.6573508530544854,0.874194508394048,0.8615048465848762,0.8652457909299268
2008,11.56775442477876,9.941829594036005,8.830197628422994,7232000,4745918.399999999,0.6562387168141592,0.8656990089383635,0.8530659530610746,0.8577495706823287
2009,11.453098943857698,9.84248071254736,8.752150027735324,7196000,4714308.4,0.6551290161200668,0.8571185072646679,0.8445412496882162,0.850168166641365
2010,11.337290502793296,9.742117743331123,8.673208025260479,7160000,4682796,0.6540217877094973,0.8484517212165998,0.8359295317768723,0.84249988201389
2011,11.266853932584269,9.679783123948292,8.62518718737555,7120000,4649217.8,0.6529800280898876,0.8431804415210041,0.8305808642112551,0.8378352238926471
2012,11.195621468926554,9.616921191700596,8.576750969435794,7080000,4615656,0.6519288135593221,0.8378495993429727,0.8251869501799474,0.8331302164973912
2013,11.123579545454545,9.55352103460794,8.52788912601962,7040000,4582110.6,0.6508679829545454,0.8324581794129179,0.8197468533725233,0.8283838646062325
2014,11.050714285714285,9.489571430355346,8.478591071828863,7000000,4548581.6,0.6497973714285714,0.8270051432550911,0.8142596108500461,0.82359513998228
2015,10.977011494252874,9.425060835172177,8.428845867477317,6960000,4515069,0.6487168103448275,0.8214894285207376,0.8087242320908405,0.818762979993165
2016,10.902456647398843,9.359977372229679,8.378642204560146,6920000,4481572.8,0.64762612716763,0.8159099482981256,0.803139697994937,0.8138862861607107
2017,10.827034883720929,9.294308819532327,8.32796838996139,6880000,4448093,0.6465251453488372,0.8102655903985064,0.7975049598450784,0.8089639226365908
2018,10.750730994152047,9.22804259727702,8.27681232935384,6840000,4414629.6,0.6454136842105263,0.8045552166170207,0.7918189382220672,0.8039947145995379
2019,10.673529411764706,9.161165754652638,8.225161509842312,6800000,4381182.6,0.6442915588235294,0.7987776619675172,0.786080521872092,0.7989774465693414
2020,10.595414201183432,9.093664956050851,8.173002981698032,6760000,4347752,0.6431585798816568,0.792931733890209,0.7802885665235353,0.7939108606325588
2021,10.451987240595438,8.96383450917242,8.064163626871014,6818500,4380719.89,0.642475601671922,0.7821980536030393,0.7691483701587601,0.7833384007845805
2022,10.309438360342751,8.834739711607243,7.955885936210337,6878218,4414483.25,0.6418062425471248,0.7715300864394483,0.7580712967208662,0.7728204999870129
2023,10.167769558906032,8.706381886240571,7.848166316691107,6939179,4449061.583,0.6411510040308802,0.7609279819602465,0.747057459720989,0.7623568092198579
